2020/7/27,1557,14,1557 ＳＰＤＲ,33950,34100,33900,34000,5380,外国
2020/7/27,1559,11,1559 タイSET50指数,2862,2862,2828,2857,634,東証１部
2020/7/27,1560,11,1560 マレーシアKLCI連動,4080,4080,3980,4000,132,東証１部
2020/7/27,1563,11,1563 マザーズ投信,2562,2578,2556,2578,3004,東証１部
2020/7/27,1566,11,1566 新興EM国債,44000,44100,44000,44050,234,東証１部
2020/7/27,1567,11,1567 MAXIS投信,1153,1153,1153,1153,20,東証１部
2020/7/27,1568,11,1568 TOPIXブル,15120,15520,15010,15520,71190,東証１部
2020/7/27,1569,11,1569 TOPIXベア,2948,2953,2907,2907,14750,東証１部
2020/7/27,1570,11,1570 日経レバレッジ,19240,19750,19210,19660,3902936,東証１部
2020/7/27,1571,11,1571 日経インバース,1373,1374,1355,1357,621639,東証１部
2020/7/27,1572,11,1572 中国Ｈ株ブル,10100,10200,9900,10070,1980,東証１部
2020/7/27,1573,11,1573 中国Ｈ株ベア,7410,7430,7310,7320,1860,東証１部
2020/7/27,1574,11,1574 MAXISトピックス,0,0,0,0,0,東証１部
2020/7/27,1575,11,1575 ChinaAMC,701,701,650,687,1870,東証１部
2020/7/27,1576,11,1576 南方FTSE,646,656,643,648,2410,東証１部
2020/7/27,1577,11,1577 NEXT野村高配,17980,18120,17850,18120,712,東証１部
2020/7/27,1578,11,1578 イン日経２２５,1790,1811,1786,1806,4196,東証１部
2020/7/27,1579,11,1579 日経平均ブル,20490,21020,20450,20930,442670,東証１部
2020/7/27,1580,11,1580 日経平均ベア,3660,3665,3615,3620,39840,東証１部
2020/7/27,1584,14,1584 サムスン投信,0,0,0,0,0,外国
2020/7/27,1585,11,1585 ダイワTOPIX,0,0,0,0,0,東証１部
2020/7/27,1586,11,1586 TOPIX-EX,1411,1417,1411,1417,2,東証１部
2020/7/27,1591,11,1591 日経インデ400,14050,14250,14030,14240,1833,東証１部
2020/7/27,1592,11,1592 上場インデ400,1286,1300,1282,1300,19756,東証１部
2020/7/27,1593,11,1593 上場インデ400投信,14370,14500,14300,14500,279,東証１部
2020/7/27,1595,11,1595 NZAM Jリート,1689,1700,1674,1698,3800,東証１部
2020/7/27,1596,11,1596 NZAM上場投信Ｆ,0,0,0,0,0,東証１部
2020/7/27,1597,11,1597 MAXIS投信,1703,1717,1685,1714,9000,東証１部
2020/7/27,1598,11,1598 NEXTファンダ,0,0,0,0,0,東証１部
2020/7/27,1599,11,1599 ＪＰＸ日経400,14340,14350,14270,14270,17,東証１部
2020/7/27,1605,11,1605 国際石油開発,663.5,668.7,645.5,668,7707800,東証１部
2020/7/27,1615,11,1615 東証銀行指投,116,118,115,118,1360900,東証１部
2020/7/27,1617,11,1617 NEXT食品,25320,25480,25200,25480,81,東証１部
2020/7/27,1618,11,1618 NEXT資源,8110,8170,8010,8170,604,東証１部
2020/7/27,1619,11,1619 NEXT建設資材,18050,18080,17890,18080,219,東証１部
2020/7/27,1620,11,1620 NEXT素材化学,22760,22760,22760,22760,1,東証１部
2020/7/27,1621,11,1621 NEXT医薬品,23930,24300,23930,24270,131,東証１部
2020/7/27,1622,11,1622 NEXT自動車,16640,16960,16640,16960,18,東証１部
2020/7/27,1623,11,1623 NEXT鉄鋼非鉄,10590,10760,10540,10750,198,東証１部
2020/7/27,1624,11,1624 NEXT機械,32000,32000,32000,32000,4,東証１部
2020/7/27,1625,11,1625 NEXT電機精密,20670,20990,20670,20990,111,東証１部
2020/7/27,1626,11,1626 NEXT情報サービス,24130,24300,23990,24200,96,東証１部
2020/7/27,1627,11,1627 NEXT電力ガス,6130,6230,6110,6190,116,東証１部
2020/7/27,1628,11,1628 NEXT運輸物流,12860,12970,12720,12940,619,東証１部
2020/7/27,1629,11,1629 NEXT商社卸売,29000,29000,28990,28990,9,東証１部
2020/7/27,1630,11,1630 NEXT小売,0,0,0,0,0,東証１部
2020/7/27,1631,11,1631 NEXT銀行,6020,6120,5970,6120,6457,東証１部
2020/7/27,1632,11,1632 NEXT金融,10220,10220,10220,10220,1004,東証１部
2020/7/27,1633,11,1633 NEXT不動産,22460,22500,22280,22500,199,東証１部
2020/7/27,1651,11,1651 ダイワ 高配４０,820,830,817,827,7770,東証１部
2020/7/27,1652,11,1652 ダイワ 女性活躍指数,1960,1960,1960,1960,50,東証１部
2020/7/27,1653,11,1653 ダイワ ESGセ,1975,1989,1975,1989,120,東証１部
2020/7/27,1655,11,1655 SP500米国株ETF,2441,2454,2438,2444,121656,東証１部
2020/7/27,1656,11,1656 米国債7-10年ETF,2691,2692,2677,2681,9362,東証１部
2020/7/27,1657,11,1657 MSCI先進国株ETF,2207,2218,2205,2218,3308,東証１部
2020/7/27,1658,11,1658 MSCI新興国株ETF,1839,1859,1822,1830,5757,東証１部
2020/7/27,1659,11,1659 米国リートETF,1713,1716,1708,1710,16984,東証１部
2020/7/27,1660,11,1660 MXS高利リート,8870,8940,8780,8940,1029,東証１部
2020/7/27,1662,11,1662 石油資源開発,1850,1859,1811,1859,315100,東証１部
2020/7/27,1663,11,1663 Ｋ＆Ｏエナジー,1462,1527,1462,1527,6800,東証１部
2020/7/27,1670,11,1670 Maxｓｐ三菱,113,114,113,114,700,東証１部
2020/7/27,1671,11,1671 WTI原油投信,872,875,867,870,2937024,東証１部
2020/7/27,1672,11,1672 ETFS金上場,20000,20400,19360,20400,2529,東証１部
2020/7/27,1673,11,1673 ETFS銀上場,2267,2429,2267,2420,12050,東証１部
2020/7/27,1674,11,1674 ETFS白金,9300,9520,9150,9490,2679,東証１部
2020/7/27,1675,11,1675 ETFSパラジ,22300,23400,22300,23380,47,東証１部
2020/7/27,1676,11,1676 ETFS貴金属,16040,16040,16040,16040,30,東証１部
2020/7/27,1677,11,1677 上場海外債権,51700,51700,51400,51400,1890,東証１部
2020/7/27,1678,11,1678 ＮＦインド,144,144,141,141,817600,東証１部
2020/7/27,1679,11,1679 ＮＹダウ投信,24960,25140,24960,25020,310,東証１部
2020/7/27,1680,11,1680 上場海外先進国,2532,2540,2527,2538,3120,東証１部
2020/7/27,1681,11,1681 新興国株式,1420,1437,1418,1419,4980,東証１部
2020/7/27,1682,11,1682 東工取白金投信,170,174,167,173,99300,東証１部
2020/7/27,1683,11,1683 金先物価格投信,5700,6000,5700,5980,940,東証１部
2020/7/27,1684,11,1684 総合商品指数,0,0,0,0,0,東証１部
2020/7/27,1685,11,1685 エネルギー指数,220,220,220,220,3210,東証１部
2020/7/27,1686,11,1686 金属商品指数,0,0,0,0,0,東証１部
2020/7/27,1687,11,1687 農産物商品指数,414,414,405,408,1630,東証１部
2020/7/27,1688,11,1688 穀物商品指数,285,285,280,282,47560,東証１部
2020/7/27,1689,11,1689 天然ガス投信,2,2,1,1,2676400,東証１部
2020/7/27,1690,11,1690 原油上場投信,411,412,409,409,122670,東証１部
2020/7/27,1691,11,1691 ガソリン投信,1699,1699,1689,1689,43,東証１部
2020/7/27,1692,11,1692 アルミ上場投信,0,0,0,0,0,東証１部
2020/7/27,1693,11,1693 銅上場投信,2805,2925,2805,2920,240,東証１部
2020/7/27,1694,11,1694 ニッケル投信,1385,1385,1385,1385,10,東証１部
2020/7/27,1695,11,1695 小麦上場投信,67,67,66,67,390800,東証１部
2020/7/27,1696,11,1696 とうもろこし投信,65,65,63,65,972600,東証１部
2020/7/27,1697,11,1697 大豆上場投信,1782,1782,1765,1770,1320,東証１部
2020/7/27,1698,11,1698 東証配当投信,1427,1427,1416,1424,2110,東証１部
2020/7/27,1699,11,1699 原油イン投信,107,108,106,107,19216420,東証１部
2020/7/27,1711,12,1711 省電舎,368,377,356,360,28400,東証２部
2020/7/27,1712,11,1712 ダイセキ環境,714,714,695,706,147900,東証１部
2020/7/27,1716,11,1716 第一カッター,2470,2511,2460,2511,11600,東証１部
2020/7/27,1717,12,1717 明豊ファシリ,592,595,579,595,46700,東証２部
2020/7/27,1718,91,1718 美樹工業,0,0,0,0,0,ＪＡＱ
